RA,Dec,Distance,Name,Max
211.63041666666663,-5.446944444444445,37.0,SN1999cp,1999/07/04
5.006083333333333,-6.334333333333333,41.0,SN1999cw,1999/06/25
263.84566666666666,60.813694444444444,54.0,SN1999da,1999/07/10
227.868375,13.484916666666665,99.2662,SN1999dg,1999/07/22
22.862166666666663,14.284916666666666,56.0,SN1999dk,1999/08/28
343.3744583333333,31.64525,98.676,SN1999do,1999/09/01
38.49866666666666,20.975111111111108,47.0,SN1999dq,1999/09/15
94.06733333333332,-21.36938888888889,16.0,SN1999ec,1999/09/19
334.03916666666663,-36.842083333333335,41.0,SN1999ee,1999/10/18
20.739083333333333,33.46611111111111,54.0,SN1999ej,1999/11/01
84.13166666666665,16.638277777777777,70.0,SN1999ek,1999/10/30
195.56808333333333,78.5415,99.637,SN1999fz,1999/12/31
129.60254166666664,25.759194444444443,76.0,SN1999gd,1999/12/06
146.08229166666663,-21.27361111111111,29.0,SN1999gh,1999/11/11
157.33029166666665,26.105333333333334,80.8,SN1999gj,2000/01/09
182.29712499999997,29.276305555555556,58.1,SN1999gr,1999/12/12
192.6095,25.471249999999998,12.0,SN1999gs,1999/12/27
9.909583333333332,14.664166666666667,76.2,SDSS0418-51884-144,N/A
106.41970833333332,50.58625,76.0,SN2000B,2000/01/21
185.3130833333333,-21.998805555555556,91.0,SN2000bh,2000/04/04
203.84574999999998,-34.16027777777778,88.0,SN2000ca,2000/05/01
121.28937499999999,66.78755555555556,66.0,SN2000ce,2000/05/01
287.86454166666664,-57.053916666666666,49.1,SN2000cj,2000/05/14
183.24762499999994,7.300166666666667,32.0,SN2000cm,2000/06/03
269.4184166666666,27.832805555555556,93.0,SN2000cn,2000/06/12
183.92516666666663,61.890166666666666,91.003,SN2000cv,2000/07/11
356.8545833333333,28.387722222222223,95.0,SN2000cw,2000/07/22
21.192458333333327,9.508694444444444,28.0,SN2000cx,2000/07/27
16.848,32.406444444444446,60.0,SN2000dk,2000/09/25
274.7457083333333,16.248166666666666,67.281,SN2000dm,2000/09/26
287.85912499999995,-50.64013888888889,41.0,SN2000do,2000/10/02
15.433499999999997,-15.569194444444443,84.3772,SN2000dr,2000/10/20
309.307375,66.09727777777778,24.0,SN2000E,2000/02/02
349.8545416666666,5.906083333333334,91.733,SN2000ey,2000/11/28
108.87449999999998,23.428444444444445,89.0,SN2000fa,2000/12/14
7.300375,33.10819444444444,71.7,SN2000fd,2000/12/27
241.29937499999994,69.66430555555556,90.0,SN2000Q,2000/03/11
184.84587499999998,5.827916666666667,29.0,SN2001A,2000/12/14
270.391625,26.25063888888889,63.0,SN2001bf,2001/05/23
128.8285833333333,28.468277777777775,21.0,SN2001bg,2001/05/11
277.6064583333333,34.103611111111114,92.7279,SN2001br,2001/05/22
288.4447916666666,-59.28966666666666,52.0,SN2001bt,2001/06/02
104.90041666666666,59.51711111111111,48.64,SN2001C,2001/01/01
321.49662499999994,-3.8129999999999997,43.7,SN2001ch,2001/05/28
281.57433333333324,-65.76161111111111,57.0,SN2001cn,2001/06/11
257.76075,5.840777777777777,97.0,SN2001cp,2001/06/28
191.8757083333333,-39.58002777777778,58.0,SN2001cz,2001/07/13
358.3865833333333,8.11738888888889,70.0,SN2001da,2001/07/16
307.72533333333325,-0.6574722222222222,82.0,SN2001dd,2001/07/16
320.2572083333333,9.180666666666665,93.0291,SN2001dl,2001/08/05
28.91895833333333,-29.922416666666667,65.109,SN2001dm,2001/08/07
26.146749999999997,37.69713888888889,68.0,SN2001dn,2001/08/14
178.43841666666665,52.349111111111114,17.0,SN2001dp,2001/08/17
177.2708333333333,-9.73636111111111,86.49,SN2001E,2001/02/01
